Movie_Name,Release_Period,Whether_Remake,Whether_Franchise,Genre,New_Actor,New_Director,New_Music_Director,Lead_Star,Director,Music_Director,Screens,Budget,Revenue,Profit_Factor,Year,Duration,Rating,Votes
Overtime,Holiday,No,No,drama,Yes,Yes,Yes,Swati Sharma,Ajay Yadav,Sahil Rayyan,20,20000000,260000,0.013,2012,114,4.8,25
Rehguzar,Normal,No,No,drama,No,Yes,No,Jimmy Shergill,Faruq Masudi,Aadesh Shrivastava,8,22500000,270000,0.012,2006,125,5.9,45
Staying Alive,Holiday,No,No,drama,Yes,No,No,Anant Mahadevan,Anant Mahadevan,Sanjoy Chowdhary,20,12500000,145000,0.0116,2012,89,5.6,29
Gangoobai,Holiday,No,No,drama,No,Yes,Yes,Sarita Joshi,Priya Krishnaswamy,Ved Nair,10,12500000,145000,0.0116,2013,110,7.3,296
Jai Jagannath,Holiday,No,No,mythological,Yes,Yes,Yes,Sarat Pujari,Sabyasachi Mohapatra,Akshaya Mohanty,10,40000000,450000,0.01125,2007,127,7.9,37
I'm In Love,Normal,No,No,drama,Yes,Yes,No,Arjun Gaur,B.M. Mirza,Daboo Malik,4,15000000,155000,0.010333333,2007,140,9.2,36
Bhoot And Friends,Holiday,No,No,drama,No,No,No,Jackie Shroff,Kittu Saluja,Sunil Singh,25,15000000,150000,0.01,2010,133,5.8,96
Hello Zindagi,Normal,No,No,drama,Yes,Yes,Yes,Mrunmayee Lagoo,Raja Unnithan,Ashish Manchanda,15,8000000,80000,0.01,2010,125,6.0,13
Shobhayatra,Normal,No,No,comedy,No,Yes,No,Divya Dutta,Vijay Ghatge,Taufiq Qureshi,5,5000000,42500,0.0085,2004,100,4.2,14
Ek Alag Mausam,Normal,No,No,drama,No,Yes,Yes,Nandita Das,K.P. Sasi,Ravi,2,5000000,42500,0.0085,2003,120,6.7,46
The Waiting Room,Normal,No,No,suspense,No,Yes,No,Raj Singh Chaudhary,Maneej Premnath,Luv - Kush,5,10000000,50000,0.005,2010,90,6.0,99
5ters: Castle of Dark Master,Normal,No,No,fantasy,Yes,Yes,Yes,Hithaishaini,G. Venugopal,Manikanth Kadari,15,17500000,72500,0.004142857,2011,110,4.6,19
Mumbhai Connection,Normal,No,No,drama,Yes,Yes,Yes,Rafiq Batcha,Atlanta Nagendra,Praveen Duth Stephen,2,20000000,32500,0.001625,2011,90,5.2,24
Dhara,Normal,No,No,drama,No,Yes,No,Sudhanshu Pandey,Masud Mirza,Saurabh Mukherjee,5,12500000,14000,0.00112,2008,95,4.3,11
Kajraare,Holiday,No,No,love_story,No,No,No,Himesh Reshammiya,Pooja Bhatt,Himesh Reshammiya,2,120000000,70000,0.000583333,2010,112,2.8,404
